NO,LATE,GENDER,MARITAL,DISTRICT,EMPLOYMENT,INCOME,INSTALLMENT,TENOR,IG_MONTH,POSTING_MIDNIGHT,REL_ACCOUNT,FOLLOWERS,FOLLOWING,IGPOST_MONTH
1,0,MALE,SINGLE,OTHER,OTHER,3000000,3760500,12,67,0,0,911,410,7
2,324,MALE,SINGLE,OTHER,OTHER,3785000,1430580,12,9,1,11,355,735,4
3,149,MALE,MARRIED,OTHER,OTHER,5000000,5028000,12,3,1,0,282,83,21
4,0,MALE,MARRIED,KABUPATEN BANDUNG,WIRASWASTA,7000000,985000,2,31,0,74,731,561,5
5,0,MALE,MARRIED,KOTA BANDUNG,KARYAWAN,2000000,1485000,6,49,0,25,436,461,5
6,0,MALE,MARRIED,KOTA BANDUNG,OTHER,7500000,5874000,6,59,0,5,1048,879,7
7,0,MALE,MARRIED,KABUPATEN BANDUNG,KARYAWAN,3000000,2904000,6,29,0,47,298,204,7
8,0,MALE,MARRIED,KOTA BANDUNG,WIRASWASTA,20000000,3945000,6,54,0,1,1303,622,2
9,0,FEMALE,MARRIED,KOTA BANDUNG,OTHER,1800000,2622000,4,34,0,11,434,249,1
10,0,MALE,MARRIED,KOTA BANDUNG,KARYAWAN,4120000,4842000,12,20,1,8,314,99,1
11,0,FEMALE,MARRIED,KOTA BANDUNG,OTHER,4000000,474000,6,27,0,19,347,797,2
12,76,MALE,MARRIED,OTHER,KARYAWAN,2500000,1986000,12,23,1,15,290,626,7
13,142,FEMALE,MARRIED,KOTA BANDUNG,KARYAWAN,4443000,4281000,6,72,1,20,725,643,5
14,0,FEMALE,SINGLE,OTHER,KARYAWAN,8000000,7875000,6,67,0,2,865,1262,4
15,0,MALE,MARRIED,Kota BANDUNG,MANAJER,4000000,391395,3,32,1,13,831,795,2
16,0,MALE,MARRIED,KOTA BANDUNG,KARYAWAN,6000000,2840000,5,73,1,94,1418,1301,4
17,0,FEMALE,MARRIED,OTHER,KARYAWAN,6000000,15957000,9,57,0,0,436,419,5
18,147,FEMALE,MARRIED,KOTA BANDUNG,KARYAWAN,4600000,1770000,6,58,0,6,794,487,3
19,0,MALE,SINGLE,OTHER,OTHER,6000000,6755000,5,41,2,2,2328,437,7
20,10,MALE,SINGLE,OTHER,KARYAWAN,1000000,2826000,6,51,0,21,1010,684,1
21,11,MALE,SINGLE,OTHER,KARYAWAN,2150000,2968000,8,47,1,14,1088,604,3
22,0,MALE,MARRIED,KABUPATEN BANDUNG,KARYAWAN,3500000,847000,4,35,0,0,285,277,2
23,0,FEMALE,SINGLE,KOTA BANDUNG,OTHER,4500000,5190000,12,62,1,0,1136,818,2
24,195,MALE,MARRIED,KABUPATEN BANDUNG,MANAJER,7200000,2787000,6,30,1,2,228,397,5
25,0,MALE,MARRIED,KOTA BANDUNG,KARYAWAN,4600000,3765000,6,68,1,1,456,422,1
26,36,MALE,SINGLE,KABUPATEN BANDUNG,KARYAWAN,3000000,2547984,12,69,1,6,500,530,2
27,0,MALE,MARRIED,KABUPATEN BANDUNG,KARYAWAN,4500000,2718000,6,47,1,3,631,164,5
28,0,MALE,MARRIED,KABUPATEN BANDUNG,KARYAWAN,2300000,1637500,5,48,0,11,287,183,4
29,0,FEMALE,SINGLE,KOTA BANDUNG,KARYAWAN,3000000,54500,1,18,1,14,1461,759,5
30,0,MALE,MARRIED,OTHER,KARYAWAN,7049130,2493000,3,107,0,13,597,452,9
31,0,MALE,MARRIED,KOTA BANDUNG,MANAJER,7000000,1695000,6,83,0,54,564,319,2
32,0,FEMALE,MARRIED,KABUPATEN BANDUNG,WIRASWASTA,7000000,427500,3,49,2,0,707,518,6
33,0,MALE,SINGLE,OTHER,OTHER,5300000,2097000,6,65,3,0,406,228,1
34,25,MALE,MARRIED,KOTA BANDUNG,OTHER,6000000,2580000,6,48,0,2,893,5228,1
35,0,MALE,SINGLE,OTHER,MANAJER,4000000,1060500,3,42,2,3,152,683,1
36,0,MALE,SINGLE,KOTA BANDUNG,KARYAWAN,3000000,4167000,6,51,0,3,1158,542,4
37,0,MALE,MARRIED,KOTA BANDUNG,OTHER,4500000,1632000,3,55,0,4,469,82,2
38,0,MALE,MARRIED,KOTA BANDUNG,KARYAWAN,4000000,2268000,6,50,0,15,571,339,8
39,0,MALE,MARRIED,KABUPATEN BANDUNG,KARYAWAN,3000000,3192000,4,71,0,69,582,1118,4
40,0,MALE,MARRIED,OTHER,OTHER,6000000,5442000,6,83,0,2,248,308,1
41,0,MALE,SINGLE,KABUPATEN BANDUNG,KARYAWAN,9000000,2442000,6,83,1,3,628,641,3
42,0,FEMALE,SINGLE,KOTA BANDUNG,OTHER,1800000,3276000,6,45,1,2,972,891,3
43,45,MALE,SINGLE,KABUPATEN BANDUNG,OTHER,1700000,1501500,3,28,2,50,864,913,4
44,0,FEMALE,MARRIED,OTHER,WIRASWASTA,30000000,5433000,6,60,0,16,3203,204,9
45,0,MALE,MARRIED,KABUPATEN BANDUNG,KARYAWAN,2743029,2523000,6,19,0,4,178,244,1
46,0,MALE,MARRIED,KABUPATEN BANDUNG,KARYAWAN,3091000,220500,3,50,0,1,931,509,1
47,0,MALE,MARRIED,KOTA BANDUNG,KARYAWAN,4500000,532500,3,67,0,26,538,522,2
48,0,MALE,MARRIED,OTHER,KARYAWAN,25000000,19032000,12,86,2,14,1077,180,3
49,88,FEMALE,MARRIED,KABUPATEN BANDUNG,KARYAWAN,5500000,2214000,6,50,2,1,3048,3591,16
50,101,MALE,MARRIED,OTHER,OTHER,2500000,1160340,12,32,1,0,237,51,1
51,22,FEMALE,MARRIED,OTHER,OTHER,2000000,2749992,12,15,1,0,427,376,5
52,54,FEMALE,MARRIED,OTHER,OTHER,3000000,2532864,12,59,2,11,1269,900,6
53,39,MALE,MARRIED,KABUPATEN BANDUNG,MANAJER,3500000,1401840,12,46,1,8,347,427,5
54,392,MALE,MARRIED,OTHER,OTHER,2100000,2958000,12,32,1,0,508,217,5
55,0,FEMALE,MARRIED,OTHER,KARYAWAN,3000000,3282000,12,36,0,33,1193,794,1
56,412,MALE,MARRIED,OTHER,OTHER,2200000,1746840,12,56,1,27,429,338,1
57,0,MALE,MARRIED,KOTA BANDUNG,WIRASWASTA,8000000,1976844,12,67,2,0,204,189,1
58,0,MALE,MARRIED,KOTA BANDUNG,KARYAWAN,2046000,4490736,12,30,1,0,1742,590,3
59,136,FEMALE,MARRIED,OTHER,WIRASWASTA,2000000,1632984,12,79,5,3,1007,1024,2
60,0,MALE,SINGLE,KOTA BANDUNG,WIRASWASTA,10000000,17388006,6,81,0,2,736,68,1
61,130,MALE,MARRIED,KOTA BANDUNG,KARYAWAN,3100000,3090000,12,30,1,17,455,688,1
62,152,MALE,MARRIED,OTHER,OTHER,2390000,2916000,12,53,1,2,454,845,5
63,61,MALE,MARRIED,KOTA BANDUNG,KARYAWAN,2790000,2310000,12,48,1,2,349,601,3
64,59,FEMALE,MARRIED,KOTA BANDUNG,KARYAWAN,3200000,1923000,6,55,0,0,772,762,12
65,43,FEMALE,MARRIED,OTHER,OTHER,3565000,7260000,12,70,1,5,2450,1031,9
66,0,FEMALE,MARRIED,KABUPATEN BANDUNG,KARYAWAN,6500000,1155000,6,48,1,1,1130,1498,3
67,0,MALE,MARRIED,KOTA BANDUNG,KARYAWAN,4025963,2787000,6,56,2,10,281,248,4
68,0,FEMALE,MARRIED,KABUPATEN BANDUNG,KARYAWAN,4000000,2727000,9,47,0,7,613,660,4
69,213,MALE,MARRIED,KOTA BANDUNG,MANAJER,6950000,15636000,12,35,1,1,297,439,1
70,0,MALE,SINGLE,OTHER,KARYAWAN,3500000,1005000,5,32,0,0,83,56,4
71,86,FEMALE,SINGLE,KABUPATEN BANDUNG,OTHER,2000000,1824000,12,34,1,0,399,519,4
72,93,FEMALE,MARRIED,KOTA BANDUNG,OTHER,5000000,1638000,6,49,1,0,248,269,2
73,0,FEMALE,SINGLE,KOTA BANDUNG,KARYAWAN,3000000,2844000,12,67,3,16,182,201,2
74,0,MALE,MARRIED,OTHER,MANAJER,22000000,15378000,6,82,0,0,349,235,1
75,0,FEMALE,MARRIED,OTHER,OTHER,4500000,2568000,12,10,0,3,202,38,5
76,46,FEMALE,MARRIED,KOTA BANDUNG,WIRASWASTA,5000000,3477000,6,48,0,7,872,441,5
77,0,MALE,MARRIED,KABUPATEN BANDUNG,OTHER,3000000,3240000,6,58,1,1,2856,1043,3
78,0,MALE,MARRIED,OTHER,KARYAWAN,6700000,2844000,6,36,2,4,141,137,1
79,23,MALE,SINGLE,KABUPATEN BANDUNG,KARYAWAN,9730985,1713000,6,58,8,0,1929,865,6
80,0,FEMALE,MARRIED,OTHER,OTHER,3000000,1631844,12,39,0,1,748,254,3
81,39,MALE,MARRIED,KABUPATEN BANDUNG,MANAJER,2074000,332340,12,16,1,5,194,662,5
82,0,MALE,MARRIED,OTHER,KARYAWAN,2500000,900360,9,48,2,0,645,408,5
83,0,MALE,MARRIED,OTHER,KARYAWAN,15000000,3535000,5,70,0,42,220,396,5
84,0,MALE,SINGLE,KOTA BANDUNG,KARYAWAN,5466841,7836000,12,78,6,0,2113,677,9
85,0,MALE,SINGLE,KOTA BANDUNG,KARYAWAN,7100000,3019500,11,35,0,2,421,466,2
86,0,MALE,SINGLE,KOTA BANDUNG,KARYAWAN,5000000,2499000,3,14,3,4,421,301,2
87,0,MALE,MARRIED,OTHER,KARYAWAN,5500000,1695000,6,53,0,95,317,286,9
88,0,MALE,MARRIED,KOTA BANDUNG,WIRASWASTA,4800000,1476000,6,16,0,7,227,128,5
89,0,MALE,SINGLE,OTHER,KARYAWAN,4470000,2073000,6,68,1,27,1035,1602,1
90,89,MALE,SINGLE,KABUPATEN BANDUNG,WIRASWASTA,4000000,3939000,6,32,4,0,655,500,2
91,0,MALE,MARRIED,KOTA BANDUNG,OTHER,10000000,3018000,6,23,1,22,780,968,2
92,0,FEMALE,MARRIED,OTHER,KARYAWAN,4000000,2673000,6,29,4,0,766,890,4
93,167,MALE,SINGLE,KOTA BANDUNG,KARYAWAN,8847422,1791000,6,53,7,0,1222,794,1
94,0,MALE,SINGLE,OTHER,WIRASWASTA,4500000,2247000,6,60,1,2,2500,861,3
95,0,MALE,SINGLE,KOTA BANDUNG,KARYAWAN,3200000,3244500,3,56,0,27,440,433,1
96,0,MALE,MARRIED,KABUPATEN BANDUNG,OTHER,1500000,543000,6,49,0,1,446,328,8
97,0,MALE,MARRIED,KOTA BANDUNG,KARYAWAN,3000000,301500,3,19,1,0,126,336,1
98,0,MALE,MARRIED,KOTA BANDUNG,WIRASWASTA,12500000,17846844,12,49,0,0,1494,266,4
99,0,MALE,MARRIED,OTHER,OTHER,5000000,5028000,12,82,0,0,131,31,1
100,0,FEMALE,SINGLE,OTHER,KARYAWAN,1700000,2160000,10,53,0,0,300,992,2